order,name,code,parent,ontologyTermURI,definition
1,Prenatal,<birth,,,
2,All ages,all ages,,,
3,Infant (0-23 months),0-23 months,All ages,,
4,Newborn (0-1 months),0-1 months,Infant (0-23 months),,
5,Infants and toddlers (2-23 months),2-23 months,Infant (0-23 months),,
6,Child (2-12 years),2-12 years,All ages,,
7,Adolescent (13-17 years),13-17 years,All ages,,
8,Adult (18+ years),18+ years,All ages,,
9,Young adult (18-24 years),18-24 years,Adult (18+ years),,
10,Adult (25-44 years),25-44 years,Adult (18+ years),,
11,Middle-aged (45-64 years),45-64 years,Adult (18+ years),,
12,Aged (65+ years),65+ years,Adult (18+ years),,
13,Aged (65-79 years),65-79 years,Aged (65-79 years),,
14,Aged (80+ years),80+ years,Aged (80+ years),,
