id,location name,primary group value,country,latitude,longitude,website,tooltip content,sort order,displayed in chart
Q1013565,Kasteel Radboud,castle,Netherlands,52.772470000000005,5.113110000000001,https://thecastlemap.com/castles/kasteel-radboud/,"<div class=""tooltip""><span class=""location-name"">Kasteel Radboud</span><span class=""primary-group-value"">castle</span><span class=""country"">Netherlands</span><span class=""year"">1288.0</span><span class=""century"">13th century</span><span class=""website"">https://thecastlemap.com/castles/kasteel-radboud/</span></div>",19,demo-map-dot-distribution
Q1056152,Royal Palace of Amsterdam,palace,Netherlands,52.37317,4.891360000000001,https://thecastlemap.com/castles/royal-palace-of-amsterdam/,"<div class=""tooltip""><span class=""location-name"">Royal Palace of Amsterdam</span><span class=""primary-group-value"">palace</span><span class=""country"">Netherlands</span><span class=""year"">1665.0</span><span class=""century"">17th century</span><span class=""website"">https://thecastlemap.com/castles/royal-palace-of-amsterdam/</span></div>",20,demo-map-dot-distribution
Q1072284,Huis ten Bosch,palace,Netherlands,52.09306,4.34389,https://thecastlemap.com/castles/huis-ten-bosch/,"<div class=""tooltip""><span class=""location-name"">Huis ten Bosch</span><span class=""primary-group-value"">palace</span><span class=""country"">Netherlands</span><span class=""year"">1645.0</span><span class=""century"">17th century</span><span class=""website"">https://thecastlemap.com/castles/huis-ten-bosch/</span></div>",21,demo-map-dot-distribution
Q1110751,Castle of Ulft,castle,Netherlands,51.885580000000004,6.389850000000001,https://thecastlemap.com/castles/castle-of-ulft/,"<div class=""tooltip""><span class=""location-name"">Castle of Ulft</span><span class=""primary-group-value"">castle</span><span class=""country"">Netherlands</span><span class=""website"">https://thecastlemap.com/castles/castle-of-ulft/</span></div>",22,demo-map-dot-distribution
Q1341673,Heeswijk Castle,castle,Netherlands,51.65583,5.44111,https://thecastlemap.com/castles/heeswijk-castle/,"<div class=""tooltip""><span class=""location-name"">Heeswijk Castle</span><span class=""primary-group-value"">castle</span><span class=""country"">Netherlands</span><span class=""year"">1050.0</span><span class=""century"">11th century</span><span class=""website"">https://thecastlemap.com/castles/heeswijk-castle/</span></div>",23,demo-map-dot-distribution
Q1438590,Fort Kijkduin,fortress,Netherlands,52.95051,4.722440000000001,https://thecastlemap.com/castles/fort-kijkduin/,"<div class=""tooltip""><span class=""location-name"">Fort Kijkduin</span><span class=""primary-group-value"">fortress</span><span class=""country"">Netherlands</span><span class=""website"">https://thecastlemap.com/castles/fort-kijkduin/</span></div>",24,demo-map-dot-distribution
Q1438648,Fort Pannerden,fortress,Netherlands,51.88083,6.027220000000001,https://thecastlemap.com/castles/fort-pannerden/,"<div class=""tooltip""><span class=""location-name"">Fort Pannerden</span><span class=""primary-group-value"">fortress</span><span class=""country"">Netherlands</span><span class=""year"">1869.0</span><span class=""century"">19th century</span><span class=""website"">https://thecastlemap.com/castles/fort-pannerden/</span></div>",25,demo-map-dot-distribution
Q1438712,Fort Sint-Michiel,ruin,Netherlands,51.37194,6.1591700000000005,https://thecastlemap.com/castles/fort-sint-michiel/,"<div class=""tooltip""><span class=""location-name"">Fort Sint-Michiel</span><span class=""primary-group-value"">ruin</span><span class=""country"">Netherlands</span><span class=""year"">1641.0</span><span class=""century"">17th century</span><span class=""website"">https://thecastlemap.com/castles/fort-sint-michiel/</span></div>",26,demo-map-dot-distribution
Q1473283,Valkenburg Castle,ruin,Netherlands,50.861940000000004,5.830830000000001,https://thecastlemap.com/castles/valkenburg-castle/,"<div class=""tooltip""><span class=""location-name"">Valkenburg Castle</span><span class=""primary-group-value"">ruin</span><span class=""country"">Netherlands</span><span class=""year"">1115.0</span><span class=""century"">12th century</span><span class=""website"">https://thecastlemap.com/castles/valkenburg-castle/</span></div>",27,demo-map-dot-distribution
Q1515774,Slot Moermond,palace,Netherlands,51.733560000000004,3.7864400000000002,https://thecastlemap.com/castles/slot-moermond/,"<div class=""tooltip""><span class=""location-name"">Slot Moermond</span><span class=""primary-group-value"">palace</span><span class=""country"">Netherlands</span><span class=""website"">https://thecastlemap.com/castles/slot-moermond/</span></div>",28,demo-map-dot-distribution
