tableName,columnName,semantics,key,columnType,refTable,nullable
FDP,,"http://www.re3data.org/schema/3-0#repository, http://www.w3.org/ns/dcat#Resource",,,,
FDP,identifier,http://rdf.biosemantics.org/ontologies/fdp-o#metadataIdentifier,1,STRING,,FALSE
FDP,label,http://www.w3.org/2000/01/rdf-schema#label,,STRING,,TRUE
FDP,title,http://purl.org/dc/terms/title,,STRING,,TRUE
FDP,hasVersion,http://purl.org/dc/terms/hasVersion,,STRING,,TRUE
FDP,description,http://purl.org/dc/terms/description,,TEXT,,TRUE
FDP,publisher,http://purl.org/dc/terms/publisher,,REF,FDP_Publisher,TRUE
FDP,language,http://purl.org/dc/terms/language,,ONTOLOGY,Languages,TRUE
FDP,license,http://purl.org/dc/terms/license,,STRING,,TRUE
FDP,alternative,http://purl.org/dc/terms/alternative,,STRING,,TRUE
FDP,conformsTo,http://purl.org/dc/terms/conformsTo,,STRING,,TRUE
FDP,rights,http://purl.org/dc/terms/rights,,REF,FDP_RightsStatement,TRUE
FDP,issued,http://purl.org/dc/terms/issued,,DATE,,TRUE
FDP,modified,http://purl.org/dc/terms/modified,,DATE,,TRUE
FDP,institution,http://www.re3data.org/schema/3-0#institution,,STRING,,TRUE
FDP,repositoryContact,http://www.re3data.org/schema/3-0#repositoryContact,,STRING,,TRUE
FDP,repositoryType,http://www.re3data.org/schema/3-0#repositoryType,,STRING,,TRUE
FDP,api,http://www.re3data.org/schema/3-0#api,,STRING,,TRUE
FDP,certificate,http://www.re3data.org/schema/3-0#certificate,,STRING,,TRUE
FDP,dataCatalog,http://www.re3data.org/schema/3-0#dataCatalog,,REF_ARRAY,FDP_Catalog,TRUE
FDP,country,http://www.re3data.org/schema/3-0#country,,ONTOLOGY,Countries,TRUE
FDP_Catalog,,,,,,
FDP_Catalog,identifier,,1,STRING,,FALSE
FDP_Catalog,title,http://purl.org/dc/terms/title,,STRING,,TRUE
FDP_Catalog,hasVersion,http://purl.org/dc/terms/hasVersion,,STRING,,TRUE
FDP_Catalog,publisher,http://purl.org/dc/terms/publisher,,REF,FDP_Publisher,TRUE
FDP_Catalog,description,http://purl.org/dc/terms/description,,TEXT,,TRUE
FDP_Catalog,language,http://purl.org/dc/terms/language,,ONTOLOGY,Languages,TRUE
FDP_Catalog,license,http://purl.org/dc/terms/license,,STRING,,TRUE
FDP_Catalog,conformsTo,http://purl.org/dc/terms/conformsTo,,STRING,,TRUE
FDP_Catalog,rights,http://purl.org/dc/terms/rights,,REF,FDP_RightsStatement,TRUE
FDP_Catalog,issued,http://purl.org/dc/terms/issued,,DATE,,TRUE
FDP_Catalog,modified,http://purl.org/dc/terms/modified,,DATE,,TRUE
FDP_Catalog,homepage,http://xmlns.com/foaf/0.1/homepage,,STRING,,TRUE
FDP_Catalog,dataset,http://www.w3.org/ns/dcat#dataset,,REF_ARRAY,FDP_Dataset,TRUE
FDP_Catalog,themeTaxonomy,http://www.w3.org/ns/dcat#themeTaxonomy,,ONTOLOGY_ARRAY,Linkouts,TRUE
FDP_Dataset,,,,,,
FDP_Dataset,identifier,,1,STRING,,FALSE
FDP_Dataset,title,http://purl.org/dc/terms/title,,STRING,,TRUE
FDP_Dataset,publisher,http://purl.org/dc/terms/publisher,,REF,FDP_Publisher,TRUE
FDP_Dataset,hasVersion,http://purl.org/dc/terms/hasVersion,,STRING,,TRUE
FDP_Dataset,description,http://purl.org/dc/terms/description,,TEXT,,TRUE
FDP_Dataset,conformsTo,http://purl.org/dc/terms/conformsTo,,STRING,,TRUE
FDP_Dataset,modified,http://purl.org/dc/terms/modified,,DATE,,TRUE
FDP_Dataset,language,http://purl.org/dc/terms/language,,ONTOLOGY,Languages,TRUE
FDP_Dataset,license,http://purl.org/dc/terms/license,,STRING,,TRUE
FDP_Dataset,rights,http://purl.org/dc/terms/rights,,REF,FDP_RightsStatement,TRUE
FDP_Dataset,metadataIssued,http://purl.org/dc/terms/issued,,DATE,,TRUE
FDP_Dataset,distribution,http://www.w3.org/ns/dcat#distribution,,REF_ARRAY,FDP_Distribution,TRUE
FDP_Dataset,theme,http://www.w3.org/ns/dcat#theme,,ONTOLOGY_ARRAY,Linkouts,TRUE
FDP_Dataset,contactPoint,http://www.w3.org/ns/dcat#contactPoint,,STRING,,TRUE
FDP_Dataset,keyword,http://www.w3.org/ns/dcat#keyword,,STRING,,TRUE
FDP_Dataset,landingPage,http://www.w3.org/ns/dcat#landingPage,,STRING,,TRUE
FDP_Distribution,,,,,,
FDP_Distribution,identifier,,1,STRING,,FALSE
FDP_Distribution,title,http://purl.org/dc/terms/title,,STRING,,TRUE
FDP_Distribution,conformsTo,http://purl.org/dc/terms/conformsTo,,STRING,,TRUE
FDP_Distribution,license,http://purl.org/dc/terms/license,,STRING,,TRUE
FDP_Distribution,hasVersion,http://purl.org/dc/terms/hasVersion,,STRING,,TRUE
FDP_Distribution,issued,http://purl.org/dc/terms/issued,,DATE,,TRUE
FDP_Distribution,modified,http://purl.org/dc/terms/modified,,DATE,,TRUE
FDP_Distribution,rights,http://purl.org/dc/terms/rights,,REF,FDP_RightsStatement,TRUE
FDP_Distribution,description,http://purl.org/dc/terms/description,,STRING,,TRUE
FDP_Distribution,accessURL,http://www.w3.org/ns/dcat#accessURL,,STRING,,TRUE
FDP_Distribution,downloadURL,http://www.w3.org/ns/dcat#downloadURL,,STRING,,TRUE
FDP_Distribution,mediaType,http://www.w3.org/ns/dcat#mediaType,,STRING,,TRUE
FDP_Distribution,format,http://www.w3.org/ns/dcat#format,,STRING,,TRUE
