"classid","label","synonyms"
"http://who.int/icf#e1451","e1451. Assistive products and technology for the practice of religion or spirituality","Assistive products and technology for the practice of religion or spirituality"
"http://who.int/icf#e1450","e1450. General products and technology for the practice of religion or spirituality","General products and technology for the practice of religion or spirituality"
"http://who.int/icf#d429","d429. Changing and maintaining body position, other specified and unspecified","Changing and maintaining body position, other specified and unspecified"
"http://who.int/icf#b5158","b5158. Digestive functions, other specified","Digestive functions, other specified"
"http://who.int/icf#b5159","b5159. Digestive functions, unspecified","Digestive functions, unspecified"
"http://who.int/icf#d669","d669. Caring for household objects and assisting others, other specified and unspecified","Caring for household objects and assisting others, other specified and unspecified"
"http://who.int/icf#e1459","e1459. Products and technology for the practice of religion or spirituality, unspecified","Products and technology for the practice of religion or spirituality, unspecified"
"http://who.int/icf#e1458","e1458. Products and technology for the practice of religion or spirituality, other specified","Products and technology for the practice of religion or spirituality, other specified"
"http://who.int/icf#b249","b249. Hearing and vestibular functions, other specified and unspecified","Hearing and vestibular functions, other specified and unspecified"
"http://who.int/icf#b5150","b5150. Transport of food through stomach and intestines","Transport of food through stomach and intestines"
"http://who.int/icf#b5151","b5151. Breakdown of food","Breakdown of food"
"http://who.int/icf#d660","d660. Assisting others","Assisting others"
"http://who.int/icf#b5152","b5152. Absorption of nutrients","Absorption of nutrients"
"http://who.int/icf#b5153","b5153. Tolerance to food","Tolerance to food"
"http://who.int/icf#d420","d420. Transferring oneself","Transferring oneself"
"http://who.int/icf#b240","b240. Sensations associated with hearing and vestibular function","Sensations associated with hearing and vestibular function"
"http://who.int/icf#b1802","b1802. Experience of time","Experience of time"
"http://who.int/icf#b1800","b1800. Experience of self","Experience of self"
"http://who.int/icf#b1801","b1801. Body image","Body image"
"http://who.int/icf#b1808","b1808. Experience of self and time functions, other specified","Experience of self and time functions, other specified"
"http://who.int/icf#b1809","b1809. Experience of self and time functions, unspecified","Experience of self and time functions, unspecified"
"http://who.int/icf#b499","b499. Functions of the cardiovascular, haematological, immunological and respiratory systems, unspecified","Functions of the cardiovascular, haematological, immunological and respiratory systems, unspecified"
"http://who.int/icf#b498","b498. Functions of the cardiovascular, haematological, immunological and respiratory systems, other specified","Functions of the cardiovascular, haematological, immunological and respiratory systems, other specified"
"http://who.int/icf#b255","b255. Smell function","Smell function"
"http://who.int/icf#b7108","b7108. Mobility of joint functions, other specified","Mobility of joint functions, other specified"
"http://who.int/icf#b7109","b7109. Mobility of joint functions, unspecified","Mobility of joint functions, unspecified"
"http://who.int/icf#d435","d435. Moving objects with lower extremities","Moving objects with lower extremities"
"http://who.int/icf#d110-d129","d110-d129. Purposeful sensory experiences","Purposeful sensory experiences"
"http://who.int/icf#b280-b289","b280-b289. Pain","Pain"
"http://who.int/icf#b7100","b7100. Mobility of a single joint","Mobility of a single joint"
"http://who.int/icf#d430","d430. Lifting and carrying objects","Lifting and carrying objects"
"http://who.int/icf#b7102","b7102. Mobility of joints generalized","Mobility of joints generalized"
"http://who.int/icf#b7101","b7101. Mobility of several joints","Mobility of several joints"
"http://who.int/icf#b250","b250. Taste function","Taste function"
"http://who.int/icf#d449","d449. Carrying, moving and handling objects, other specified and unspecified","Carrying, moving and handling objects, other specified and unspecified"
"http://who.int/icf#d9101","d9101. Formal associations","Formal associations"
"http://who.int/icf#b265","b265. Touch function","Touch function"
"http://who.int/icf#d9102","d9102. Ceremonies","Ceremonies"
"http://who.int/icf#d9100","d9100. Informal associations","Informal associations"
"http://who.int/icf#d445","d445. Hand and arm use","Hand and arm use"
"http://who.int/icf#b260","b260. Proprioceptive function","Proprioceptive function"
"http://who.int/icf#d440","d440. Fine hand use","Fine hand use"
"http://who.int/icf#d9109","d9109. Community life, unspecified","Community life, unspecified"
"http://who.int/icf#d9108","d9108. Community life, other specified","Community life, other specified"
"http://who.int/icf#b279","b279. Additional sensory functions, other specified and unspecified","Additional sensory functions, other specified and unspecified"
"http://who.int/icf#d455","d455. Moving around","Moving around"
"http://who.int/icf#d698","d698. Domestic life, other specified","Domestic life, other specified"
"http://who.int/icf#d699","d699. Domestic life, unspecified","Domestic life, unspecified"
"http://who.int/icf#d450","d450. Walking","Walking"
"http://who.int/icf#b270","b270. Sensory functions related to temperature and other stimuli","Sensory functions related to temperature and other stimuli"
"http://who.int/icf#d210","d210. Undertaking a single task","Undertaking a single task"
"http://who.int/icf#b230-b249","b230-b249. Hearing and vestibular functions","Hearing and vestibular functions"
"http://who.int/icf#e1251","e1251. Assistive products and technology for communication","Assistive products and technology for communication"
"http://who.int/icf#e1250","e1250. General products and technology for communication","General products and technology for communication"
"http://who.int/icf#e2100","e2100. Land forms","Land forms"
"http://who.int/icf#b449","b449. Functions of the respiratory system, other specified and unspecified","Functions of the respiratory system, other specified and unspecified"
"http://who.int/icf#b440-b449","b440-b449. Functions of the respiratory system","Functions of the respiratory system"
"http://who.int/icf#e2101","e2101. Bodies of water","Bodies of water"
"http://who.int/icf#d629","d629. Acquisition of necessities, other specified and unspecified","Acquisition of necessities, other specified and unspecified"
"http://who.int/icf#d865","d865. Complex economic transactions","Complex economic transactions"
"http://who.int/icf#e1259","e1259. Products and technology for communication, unspecified","Products and technology for communication, unspecified"
"http://who.int/icf#e1258","e1258. Products and technology for communication, other specified","Products and technology for communication, other specified"
"http://who.int/icf#b5358","b5358. Sensations associated with the digestive system, other specified","Sensations associated with the digestive system, other specified"
"http://who.int/icf#e2108","e2108. Physical geography, other specified","Physical geography, other specified"
"http://who.int/icf#b5359","b5359. Sensations associated with the digestive system, unspecified","Sensations associated with the digestive system, unspecified"
"http://who.int/icf#b6208","b6208. Urination functions, other specified","Urination functions, other specified"
"http://who.int/icf#d620","d620. Acquisition of goods and services","Acquisition of goods and services"
"http://who.int/icf#e2109","e2109. Physical geography, unspecified","Physical geography, unspecified"
"http://who.int/icf#b445","b445. Respiratory muscle functions","Respiratory muscle functions"
"http://who.int/icf#b6209","b6209. Urination functions, unspecified","Urination functions, unspecified"
"http://who.int/icf#b5350","b5350. Sensation of nausea","Sensation of nausea"
"http://who.int/icf#b5351","b5351. Feeling bloated","Feeling bloated"
"http://who.int/icf#d860","d860. Basic economic transactions","Basic economic transactions"
"http://who.int/icf#b440","b440. Respiration functions","Respiration functions"
"http://who.int/icf#b5352","b5352. Sensation of abdominal cramps","Sensation of abdominal cramps"
"http://who.int/icf#b6200","b6200. Urination","Urination"
"http://who.int/icf#b6202","b6202. Urinary continence","Urinary continence"
"http://who.int/icf#b6201","b6201. Frequency of urination","Frequency of urination"
"http://who.int/icf#d160-d179","d160-d179. Applying knowledge","Applying knowledge"
"http://who.int/icf#b750-b789","b750-b789. Movement functions","Movement functions"
"http://who.int/icf#b540-b559","b540-b559. Functions related to metabolism and the endocrine system","Functions related to metabolism and the endocrine system"
