name,definition,codesystem,code,ontologyTermURI
"Biological Daughter","A female progeny with genetic makeup inherited from the parent.","NCIT","C150887","http://purl.obolibrary.org/obo/NCIT_C150887"
"Biological Son","A male progeny with genetic makeup inherited from the parent.","NCIT","C150888","http://purl.obolibrary.org/obo/NCIT_C150888"
"Biological Maternal Grandfather","A male relative who is the biological father of the biological mother.","NCIT","C96577","http://purl.obolibrary.org/obo/NCIT_C96577"
"Biological Paternal Grandfather","A male relative who is the biological father of the biological father.","NCIT","C96583","http://purl.obolibrary.org/obo/NCIT_C96583"
"Biological Paternal Grandmother","A female relative who is the biological mother of the biological father.","NCIT","C96584","http://purl.obolibrary.org/obo/NCIT_C96584"
"Biological Maternal Grandmother","A female relative who is the biological mother of the biological mother.","NCIT","C96578","http://purl.obolibrary.org/obo/NCIT_C96578"
"Biological Maternal Cousin","A relative who is the offspring of a sibling of the biological mother and thus sharing a common ancestor.","NCIT","C96576","http://purl.obolibrary.org/obo/NCIT_C96576"
"Biological Paternal Cousin","A relative who is the offspring of a sibling of the biological father and thus sharing a common ancestor.","NCIT","C96582","http://purl.obolibrary.org/obo/NCIT_C96582"
"Biological Paternal Aunt","A female relative who is a sibling of the biological father, and who both share a common ancestor.","NCIT","C96581","http://purl.obolibrary.org/obo/NCIT_C96581"
"Biological Maternal Aunt","A female relative who is a sibling of the biological mother, and who both share a common ancestor.","NCIT","C96575","http://purl.obolibrary.org/obo/NCIT_C96575"
"Biological Father","A male who contributes to the genetic makeup of his offspring through the fertilization of an ovum by his sperm.","NCIT","C96572","http://purl.obolibrary.org/obo/NCIT_C96572"
"Biological Mother","A female who contributes to the genetic makeup of her offspring from the fertilization of her ovum.","NCIT","C96580","http://purl.obolibrary.org/obo/NCIT_C96580"
"Half-brother with Father as Common Parent","A male sibling who shares the genetic makeup inherited from only the biological father.","NCIT","C96655","http://purl.obolibrary.org/obo/NCIT_C96655"
"Half-sister with Father as Common Parent","A female sibling who shares the genetic makeup inherited from only the biological father.","NCIT","C96657","http://purl.obolibrary.org/obo/NCIT_C96657"
"Half-brother with Mother as Common Parent","A male sibling who shares the genetic makeup inherited from only the biological mother.","NCIT","C96656","http://purl.obolibrary.org/obo/NCIT_C96656"
"Half-sister with Mother as Common Parent","A female sibling who shares the genetic makeup inherited from only the biological mother.","NCIT","C96658","http://purl.obolibrary.org/obo/NCIT_C96658"
"Fraternal Twin Brother","A male full sibling that developed from a separately fertilized ova during the same pregnancy.","NCIT","C165796","http://purl.obolibrary.org/obo/NCIT_C165796"
"Fraternal Twin Sister","A female full sibling that developed from a separately fertilized ova during the same pregnancy.","NCIT","C165797","http://purl.obolibrary.org/obo/NCIT_C165797"
"Identical Twin Brother","A male full sibling that developed from a shared ovum.","NCIT","C165848","http://purl.obolibrary.org/obo/NCIT_C165848"
"Identical Twin Sister","A female full sibling that developed from a shared ovum.","NCIT","C165849","http://purl.obolibrary.org/obo/NCIT_C165849"
"Full Brother","A male who shares with his sibling the genetic makeup inherited from both of the biological parents.","NCIT","C111201","http://purl.obolibrary.org/obo/NCIT_C111201"
"Full Sister","A female who shares with her sibling the genetic makeup inherited from both of the biological parents.","NCIT","C111202","http://purl.obolibrary.org/obo/NCIT_C111202"
"Grandson","A male grandchild.","NCIT","C71398","http://purl.obolibrary.org/obo/NCIT_C71398"
"Granddaughter","A female grandchild.","NCIT","C71399","http://purl.obolibrary.org/obo/NCIT_C71399"
"Biological Maternal Uncle","A male relative who is a sibling of the biological mother, and who both share a common ancestor.","NCIT","C96579","http://purl.obolibrary.org/obo/NCIT_C96579"
"Biological Paternal Uncle","A male relative who is a sibling of the biological father, and who both share a common ancestor.","NCIT","C96585","http://purl.obolibrary.org/obo/NCIT_C96585"
"Niece","A daughter of your brother or sister.","NCIT","C71408","http://purl.obolibrary.org/obo/NCIT_C71408"
"Nephew","A son of your brother or sister.","NCIT","C71409","http://purl.obolibrary.org/obo/NCIT_C71409"
"Ancestor","Someone from whom you are descended (but usually more remote than a grandparent).","NCIT","C42609","http://purl.obolibrary.org/obo/NCIT_C42609"
"Maternal First Cousin Once Removed","A child of one's first cousin who is related by lineage through the mother's side of the family.","NCIT","C165851","http://purl.obolibrary.org/obo/NCIT_C165851"
"Paternal First Cousin Once Removed","A child of one's first cousin who is related by lineage through the father's side of the family.","NCIT","C165852","http://purl.obolibrary.org/obo/NCIT_C165852"
"Descendent","Someone deriving or descending from an ancestor.","NCIT","C42674","http://purl.obolibrary.org/obo/NCIT_C42674"
"Great Grandchild","A child of one's grandchild.","NCIT","C165847","http://purl.obolibrary.org/obo/NCIT_C165847"
"Maternal Great Grandparent","A parent of one's maternal grandparent.","NCIT","C166127","http://purl.obolibrary.org/obo/NCIT_C166127"
"Paternal Great Grandparent","A parent of one's paternal grandparent.","NCIT","C166128","http://purl.obolibrary.org/obo/NCIT_C166128"
"Great Nephew","A male child of one's niece or nephew.","NCIT","C165798","http://purl.obolibrary.org/obo/NCIT_C165798"
"Great Niece","A female child of one's niece or nephew.","NCIT","C165846","http://purl.obolibrary.org/obo/NCIT_C165846"
"Maternal Great Aunt","The aunt of one's mother.","NCIT","C165853","http://purl.obolibrary.org/obo/NCIT_C165853"
"Maternal Great Uncle","The uncle of one's mother.","NCIT","C165854","http://purl.obolibrary.org/obo/NCIT_C165854"
"Paternal Great Aunt","The aunt of one's father.","NCIT","C165856","http://purl.obolibrary.org/obo/NCIT_C165856"
"Paternal Great Uncle","The uncle of one's father.","NCIT","C165857","http://purl.obolibrary.org/obo/NCIT_C165857"
