"label","value","valueOrder","id","component"
"Universitair Ziekenhuis Leuven","945.0","0","oldest.orgs.0","oldest.organisations"
"Clinique Saint Jean","830.0","1","oldest.orgs.1","oldest.organisations"
"AZ Sint-Blasius","823.0","2","oldest.orgs.2","oldest.organisations"
"AZ Groeninge","814.0","3","oldest.orgs.3","oldest.organisations"
"KU Leuven","600.0","4","oldest.orgs.4","oldest.organisations"
"Université Catholique de Louvain","600.0","5","oldest.orgs.5","oldest.organisations"
"Reinier van Arkel","583.0","6","oldest.orgs.6","oldest.organisations"
"Leiden University","449.0","7","oldest.orgs.7","oldest.organisations"
"Government of Netherlands","443.0","8","oldest.orgs.8","oldest.organisations"
"University of Groningen","410.0","9","oldest.orgs.9","oldest.organisations"
"Nonprofit","416.0","0","org.type.0","organisations.by.type"
"Healthcare","277.0","1","org.type.1","organisations.by.type"
"Education","209.0","2","org.type.2","organisations.by.type"
"Government","141.0","3","org.type.3","organisations.by.type"
"Archive","47.0","4","org.type.4","organisations.by.type"
